Link,,Map,Mod,Suggested pp value,Best pp value,Difference
https://osu.ppy.sh/beatmapsets/28705#fruits/118068,,Yousei Teikoku - Kokou no Sousei (Saten-san) [Chaos],DT,1420,,-1420
https://osu.ppy.sh/beatmapsets/1552869#fruits/3172816,,Noah - Deadly force - Put an end (Bunnrei) [Revolt from the Abyss],HR,1415,,-1415
https://osu.ppy.sh/beatmapsets/1278683#fruits/2656352,,Ayase Rie - Hijitsuzaikei Joshitachi wa Dou Surya Ii Desu ka? (-Luminate) [Delightful],HR,1415,,-1415
https://osu.ppy.sh/beatmapsets/2011555#fruits/4185885,,UNDEAD CORPORATION - Flowering Night Fever (Deif) [Rocma & Deif's Private Vision],HR,1410,,-1410
https://osu.ppy.sh/beatmapsets/1907655#fruits/3933797,,Camellia feat. Camellia - Ashed Wings (Rocma) [Classic],HR,1403,,-1403
https://osu.ppy.sh/beatmapsets/2165226#fruits/4884624,,tn-shi - Annihilation in F# Minor (Jemzuu) [Unlucky_w's Chaotic Finale],NM,1402,,-1402
https://osu.ppy.sh/beatmapsets/2203299#fruits/4663536,,VINXIS - Sidetracked Day (Verti) [Deviated],DT,1400,,-1400
https://osu.ppy.sh/beatmapsets/2039804#fruits/4254926,,Kry.exe feat. Ice - Last Wish (-Rustyy) [Rustyy & Daletto's One Thousand Voices],HR,1400,,-1400
https://osu.ppy.sh/beatmapsets/2273300#fruits/4843091,,Mutsuhiko Izumi - Snow Goose (ZiRoX) [Secre's Terminus],HR,1400,,-1400
https://osu.ppy.sh/beatmapsets/2273300#fruits/4843091,,Mutsuhiko Izumi - Snow Goose (ZiRoX) [Secre's Terminus],HR,1400,,-1400
https://osu.ppy.sh/beatmapsets/866700#fruits/5124042,,Reol - Yakusoku no Ao (Crowley) [Unchanging Promise],HR,1400,,-1400
https://osu.ppy.sh/beatmapsets/2433439#fruits/5302684,,SHIKI - Rose Quartz (fayew) [Floral Strobe],HR,1400,,-1400
https://osu.ppy.sh/beatmapsets/2433439#fruits/5302684,,SHIKI - Rose Quartz (fayew) [Floral Strobe],HR,1400,,-1400
